,Feature,Importance
18,WAIT_TIME,0.08477295024803047
24,EMPLOYER_ADDRESS_1,0.031071324434280546
36,PW_TRACK_NUM,0.028761827627926895
17,Year,0.028381702975231106
29,EMPLOYER_POSTAL_CODE,0.026365739576824854
87,RECR_INFO_SECOND_AD_START,0.02354290287967791
23,EMPLOYER_NAME,0.021377714407657705
81,RECR_INFO_SWA_JOB_ORDER_END,0.01981251840239053
0,EMPLOYER_NUM_EMPLOYEES,0.019345904169493416
80,RECR_INFO_SWA_JOB_ORDER_START,0.018451906419704338
84,RECR_INFO_FIRST_AD_START,0.017269044989567082
164,PW_TRACK_NUMBER,0.016833401393081336
96,RI_JOB_SEARCH_WEBSITE_FROM,0.01650965707580534
26,EMPLOYER_CITY,0.013870488461658038
30,EMPLOYER_PHONE,0.013869861247204955
45,PW_EXPIRE_DATE,0.013511584384622428
37,PW_SOC_CODE,0.013435677048277039
121,FOREIGN_WORKER_INFO_MAJOR,0.013271664346397018
211,SWA_JOB_ORDER_END_DATE,0.012928216318751596
210,SWA_JOB_ORDER_START_DATE,0.01198782789240046
97,RI_JOB_SEARCH_WEBSITE_TO,0.011627716226993198
44,PW_DETERM_DATE,0.011277098245710828
38,PW_SOC_TITLE,0.011064488521899623
115,FW_INFO_POSTAL_CODE,0.010771172649392582
179,WORKSITE_POSTAL_CODE,0.01054360489723796
175,WORKSITE_ADDRESS_1,0.009447808574817957
261,PREPARER_NAME,0.008597638051292482
154,AGENT_ATTORNEY_NAME,0.00821561687172214
217,SECOND_AD_START_DATE,0.008061594880679045
214,FIRST_ADVERTISEMENT_START_DATE,0.008003876013804341
152,EMP_CONTACT_PHONE,0.007886215140090991
16,EMPLOYER_FEIN,0.007663501520685665
156,AGENT_ATTORNEY_PHONE,0.0074744409118650745
170,PW_DETERMINATION_DATE,0.007059552671459019
27,EMPLOYER_STATE,0.0070282399500437385
52,JOB_INFO_JOB_TITLE,0.0069955706812849395
227,JOB_SEARCH_WEBSITE_TO_DATE,0.006843925368510571
171,PW_EXPIRATION_DATE,0.006694938144131483
15,EMP_YEAR_COMMENCED_BUSINESS,0.006532422657419059
215,SECOND_NEWSPAPER_AD_NAME,0.006458533431479559
113,FOREIGN_WORKER_INFO_CITY,0.006455728638563737
